ROUND,SCORE,POS,PTS,BEST 10
Tue Apr 11,3,T9,13,
Brookshire,,,,
Tue Apr 18,7,22,1,
Brookshire,,,,
Tue Apr 25,4,T10,9,
Brookshire,,,,
Tue May 2,-4,T1,95,95
Brookshire,,,,
Tue May 16,1,T9,10,
Brookshire,,,,
Tue May 23,3,T16,3,
Brookshire,,,,
Tue May 30,4,27,1,
Brookshire,,,,
Tue Jun 6,-3,3,80,80
Brookshire,,,,
Tue Jun 20,6,38,1,
Brookshire,,,,
Tue Jun 27,-1,T7,35,35
Brookshire,,,,
Tue Jul 11,6,T30,1,
Brookshire,,,,
Tue Jul 18,6,T27,1,
Brookshire,,,,
Tue Jul 25,2,T21,1,
Brookshire,,,,
Tue Aug 1,4,T12,7,
Brookshire,,,,
Tue Aug 8,-2,T5,50,50
Brookshire,,,,
Tue Aug 15,E,T6,35,35
Brookshire,,,,
Tue Aug 22,3,T13,5,
Brookshire,,,,
Tue Aug 29,5,T19,1,
Brookshire,,,,
Tue Sep 5,E,T9,15,15
Brookshire,,,,
Tue Sep 12,2,T7,22,22
Brookshire,,,,
Tue Sep 19,1,T5,45,45
Brookshire,,,,
Tue Oct 3,1,T4,60,60
Brookshire,,,,
Tue Oct 10,E,3,80,80
Brookshire,,,,
Tue Oct 17,,,,
Brookshire,,,,
Tue Oct 24,,,,
Brookshire,,,,
Tue Oct 31,,,,
Brookshire,,,,