ROUND,SCORE,PLACE,PTS,BEST 10
Tue Apr 11,1,9th,15,
Brookshire,,,,
Tue Apr 18,-5,1st,100,100
Brookshire,,,,
Tue Apr 25,1,9th,12,
Brookshire,,,,
Tue May 2,-4,2nd,90,90
Brookshire,,,,
Tue May 16,-4,4th,65,65
Brookshire,,,,
Tue May 23,-1,8th,17,
Brookshire,,,,
Tue May 30,E,14th,6,
Brookshire,,,,
Tue Jun 6,-4,5th,55,55
Brookshire,,,,
Tue Jun 20,-2,14th,6,
Brookshire,,,,
Tue Jun 27,-4,5th,45,
Brookshire,,,,
Tue Jul 11,E,13th,6,
Brookshire,,,,
Tue Jul 18,-2,8th,20,
Brookshire,,,,
Tue Jul 25,-4,4th,50,
Brookshire,,,,
Tue Aug 1,-5,1st,100,100
Brookshire,,,,
Tue Aug 8,-4,4th,55,
Brookshire,,,,
Tue Aug 15,-3,5th,50,
Brookshire,,,,
Tue Aug 22,-3,4th,70,70
Brookshire,,,,
Tue Aug 29,-7,1st,100,100
Brookshire,,,,
Tue Sep 5,-4,2nd,85,85
Brookshire,,,,
Tue Sep 12,2,9th,10,
Brookshire,,,,
Tue Sep 19,1,7th,35,
Brookshire,,,,
Tue Oct 3,-2,3rd,80,80
Brookshire,,,,
Tue Oct 10,-3,3rd,70,70
Brookshire,,,,
Tue Oct 17,,,,
Brookshire,,,,
Tue Oct 24,,,,
Brookshire,,,,
Tue Oct 31,,,,
Brookshire,,,,